Emoji,Unicode,Bytes,Description
😇,U+1F607,\xF0\x9F\x98\x87,SMILING FACE WITH HALO
😈,U+1F608,\xF0\x9F\x98\x88,SMILING FACE WITH HORNS
😎,U+1F60E,\xF0\x9F\x98\x8E,SMILING FACE WITH SUNGLASSES
😐,U+1F610,\xF0\x9F\x98\x90,NEUTRAL FACE
😑,U+1F611,\xF0\x9F\x98\x91,EXPRESSIONLESS FACE
😕,U+1F615,\xF0\x9F\x98\x95,CONFUSED FACE
😗,U+1F617,\xF0\x9F\x98\x97,KISSING FACE
😙,U+1F619,\xF0\x9F\x98\x99,KISSING FACE WITH SMILING EYES
😛,U+1F61B,\xF0\x9F\x98\x9B,FACE WITH STUCK-OUT TONGUE
😟,U+1F61F,\xF0\x9F\x98\x9F,WORRIED FACE
😦,U+1F626,\xF0\x9F\x98\xA6,FROWNING FACE WITH OPEN MOUTH
😧,U+1F627,\xF0\x9F\x98\xA7,ANGUISHED FACE
😬,U+1F62C,\xF0\x9F\x98\xAC,GRIMACING FACE
😮,U+1F62E,\xF0\x9F\x98\xAE,FACE WITH OPEN MOUTH
😯,U+1F62F,\xF0\x9F\x98\xAF,HUSHED FACE
😴,U+1F634,\xF0\x9F\x98\xB4,SLEEPING FACE
😶,U+1F636,\xF0\x9F\x98\xB6,FACE WITHOUT MOUTH
🚁,U+1F681,\xF0\x9F\x9A\x81,HELICOPTER
🚂,U+1F682,\xF0\x9F\x9A\x82,STEAM LOCOMOTIVE
🚆,U+1F686,\xF0\x9F\x9A\x86,TRAIN
🚈,U+1F688,\xF0\x9F\x9A\x88,LIGHT RAIL
🚊,U+1F68A,\xF0\x9F\x9A\x8A,TRAM
🚍,U+1F68D,\xF0\x9F\x9A\x8D,ONCOMING BUS
🚎,U+1F68E,\xF0\x9F\x9A\x8E,TROLLEYBUS
🚐,U+1F690,\xF0\x9F\x9A\x90,MINIBUS
🚔,U+1F694,\xF0\x9F\x9A\x94,ONCOMING POLICE CAR
🚖,U+1F696,\xF0\x9F\x9A\x96,ONCOMING TAXI
🚘,U+1F698,\xF0\x9F\x9A\x98,ONCOMING AUTOMOBILE
🚛,U+1F69B,\xF0\x9F\x9A\x9B,ARTICULATED LORRY
🚜,U+1F69C,\xF0\x9F\x9A\x9C,TRACTOR
🚝,U+1F69D,\xF0\x9F\x9A\x9D,MONORAIL
🚞,U+1F69E,\xF0\x9F\x9A\x9E,MOUNTAIN RAILWAY
🚟,U+1F69F,\xF0\x9F\x9A\x9F,SUSPENSION RAILWAY
🚠,U+1F6A0,\xF0\x9F\x9A\xA0,MOUNTAIN CABLEWAY
🚡,U+1F6A1,\xF0\x9F\x9A\xA1,AERIAL TRAMWAY
🚣,U+1F6A3,\xF0\x9F\x9A\xA3,ROWBOAT
🚦,U+1F6A6,\xF0\x9F\x9A\xA6,VERTICAL TRAFFIC LIGHT
🚮,U+1F6AE,\xF0\x9F\x9A\xAE,PUT LITTER IN ITS PLACE SYMBOL
🚯,U+1F6AF,\xF0\x9F\x9A\xAF,DO NOT LITTER SYMBOL
🚰,U+1F6B0,\xF0\x9F\x9A\xB0,POTABLE WATER SYMBOL
🚱,U+1F6B1,\xF0\x9F\x9A\xB1,NON-POTABLE WATER SYMBOL
🚳,U+1F6B3,\xF0\x9F\x9A\xB3,NO BICYCLES
🚴,U+1F6B4,\xF0\x9F\x9A\xB4,BICYCLIST
🚵,U+1F6B5,\xF0\x9F\x9A\xB5,MOUNTAIN BICYCLIST
🚷,U+1F6B7,\xF0\x9F\x9A\xB7,NO PEDESTRIANS
🚸,U+1F6B8,\xF0\x9F\x9A\xB8,CHILDREN CROSSING
🚿,U+1F6BF,\xF0\x9F\x9A\xBF,SHOWER
🛁,U+1F6C1,\xF0\x9F\x9B\x81,BATHTUB
🛂,U+1F6C2,\xF0\x9F\x9B\x82,PASSPORT CONTROL
🛃,U+1F6C3,\xF0\x9F\x9B\x83,CUSTOMS
🛄,U+1F6C4,\xF0\x9F\x9B\x84,BAGGAGE CLAIM
🛅,U+1F6C5,\xF0\x9F\x9B\x85,LEFT LUGGAGE
🌍,U+1F30D,\xF0\x9F\x8C\x8D,EARTH GLOBE EUROPE-AFRICA
🌎,U+1F30E,\xF0\x9F\x8C\x8E,EARTH GLOBE AMERICAS
🌐,U+1F310,\xF0\x9F\x8C\x90,GLOBE WITH MERIDIANS
🌒,U+1F312,\xF0\x9F\x8C\x92,WAXING CRESCENT MOON SYMBOL
🌖,U+1F316,\xF0\x9F\x8C\x96,WANING GIBBOUS MOON SYMBOL
🌗,U+1F317,\xF0\x9F\x8C\x97,LAST QUARTER MOON SYMBOL
🌘,U+1F318,\xF0\x9F\x8C\x98,WANING CRESCENT MOON SYMBOL
🌚,U+1F31A,\xF0\x9F\x8C\x9A,NEW MOON WITH FACE
🌜,U+1F31C,\xF0\x9F\x8C\x9C,LAST QUARTER MOON WITH FACE
🌝,U+1F31D,\xF0\x9F\x8C\x9D,FULL MOON WITH FACE
🌞,U+1F31E,\xF0\x9F\x8C\x9E,SUN WITH FACE
🌲,U+1F332,\xF0\x9F\x8C\xB2,EVERGREEN TREE
🌳,U+1F333,\xF0\x9F\x8C\xB3,DECIDUOUS TREE
🍋,U+1F34B,\xF0\x9F\x8D\x8B,LEMON
🍐,U+1F350,\xF0\x9F\x8D\x90,PEAR
🍼,U+1F37C,\xF0\x9F\x8D\xBC,BABY BOTTLE
🏇,U+1F3C7,\xF0\x9F\x8F\x87,HORSE RACING
🏉,U+1F3C9,\xF0\x9F\x8F\x89,RUGBY FOOTBALL
🏤,U+1F3E4,\xF0\x9F\x8F\xA4,EUROPEAN POST OFFICE
🐀,U+1F400,\xF0\x9F\x90\x80,RAT
🐁,U+1F401,\xF0\x9F\x90\x81,MOUSE
🐂,U+1F402,\xF0\x9F\x90\x82,OX
🐃,U+1F403,\xF0\x9F\x90\x83,WATER BUFFALO
🐄,U+1F404,\xF0\x9F\x90\x84,COW
🐅,U+1F405,\xF0\x9F\x90\x85,TIGER
🐆,U+1F406,\xF0\x9F\x90\x86,LEOPARD
🐇,U+1F407,\xF0\x9F\x90\x87,RABBIT
🐈,U+1F408,\xF0\x9F\x90\x88,CAT
🐉,U+1F409,\xF0\x9F\x90\x89,DRAGON
🐊,U+1F40A,\xF0\x9F\x90\x8A,CROCODILE
🐋,U+1F40B,\xF0\x9F\x90\x8B,WHALE
🐏,U+1F40F,\xF0\x9F\x90\x8F,RAM
🐐,U+1F410,\xF0\x9F\x90\x90,GOAT
🐓,U+1F413,\xF0\x9F\x90\x93,ROOSTER
🐕,U+1F415,\xF0\x9F\x90\x95,DOG
🐖,U+1F416,\xF0\x9F\x90\x96,PIG
🐪,U+1F42A,\xF0\x9F\x90\xAA,DROMEDARY CAMEL
👥,U+1F465,\xF0\x9F\x91\xA5,BUSTS IN SILHOUETTE
👬,U+1F46C,\xF0\x9F\x91\xAC,TWO MEN HOLDING HANDS
👭,U+1F46D,\xF0\x9F\x91\xAD,TWO WOMEN HOLDING HANDS
💭,U+1F4AD,\xF0\x9F\x92\xAD,THOUGHT BALLOON
💶,U+1F4B6,\xF0\x9F\x92\xB6,BANKNOTE WITH EURO SIGN
💷,U+1F4B7,\xF0\x9F\x92\xB7,BANKNOTE WITH POUND SIGN
📬,U+1F4EC,\xF0\x9F\x93\xAC,OPEN MAILBOX WITH RAISED FLAG
📭,U+1F4ED,\xF0\x9F\x93\xAD,OPEN MAILBOX WITH LOWERED FLAG
📯,U+1F4EF,\xF0\x9F\x93\xAF,POSTAL HORN
📵,U+1F4F5,\xF0\x9F\x93\xB5,NO MOBILE PHONES
🔀,U+1F500,\xF0\x9F\x94\x80,TWISTED RIGHTWARDS ARROWS
🔁,U+1F501,\xF0\x9F\x94\x81,CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS
🔂,U+1F502,\xF0\x9F\x94\x82,CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS WITH CIRCLED ONE OVERLAY
🔄,U+1F504,\xF0\x9F\x94\x84,ANTICLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS
🔅,U+1F505,\xF0\x9F\x94\x85,LOW BRIGHTNESS SYMBOL
🔆,U+1F506,\xF0\x9F\x94\x86,HIGH BRIGHTNESS SYMBOL
🔇,U+1F507,\xF0\x9F\x94\x87,SPEAKER WITH CANCELLATION STROKE
🔉,U+1F509,\xF0\x9F\x94\x89,SPEAKER WITH ONE SOUND WAVE
🔕,U+1F515,\xF0\x9F\x94\x95,BELL WITH CANCELLATION STROKE
🔬,U+1F52C,\xF0\x9F\x94\xAC,MICROSCOPE
🔭,U+1F52D,\xF0\x9F\x94\xAD,TELESCOPE
🕜,U+1F55C,\xF0\x9F\x95\x9C,CLOCK FACE ONE-THIRTY
🕝,U+1F55D,\xF0\x9F\x95\x9D,CLOCK FACE TWO-THIRTY
🕞,U+1F55E,\xF0\x9F\x95\x9E,CLOCK FACE THREE-THIRTY
🕟,U+1F55F,\xF0\x9F\x95\x9F,CLOCK FACE FOUR-THIRTY
🕠,U+1F560,\xF0\x9F\x95\xA0,CLOCK FACE FIVE-THIRTY
🕡,U+1F561,\xF0\x9F\x95\xA1,CLOCK FACE SIX-THIRTY
🕢,U+1F562,\xF0\x9F\x95\xA2,CLOCK FACE SEVEN-THIRTY
🕣,U+1F563,\xF0\x9F\x95\xA3,CLOCK FACE EIGHT-THIRTY
🕤,U+1F564,\xF0\x9F\x95\xA4,CLOCK FACE NINE-THIRTY
🕥,U+1F565,\xF0\x9F\x95\xA5,CLOCK FACE TEN-THIRTY
🕦,U+1F566,\xF0\x9F\x95\xA6,CLOCK FACE ELEVEN-THIRTY
🕧,U+1F567,\xF0\x9F\x95\xA7,CLOCK FACE TWELVE-THIRTY
